127.0.0.1 - - [22/Feb/2019:14:53:36 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/ HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/main/main HTTP/1.1" 200 6786
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/css/home-style.css HTTP/1.1" 200 5192
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/css/login.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/banner_1.png HTTP/1.1" 200 860146
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/main_logo.png HTTP/1.1" 200 29432
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/search.svg HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/store_1.png HTTP/1.1" 200 80961
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/store_2.png HTTP/1.1" 200 99564
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/store_3.png HTTP/1.1" 200 76311
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/Event%20banner_2.png HTTP/1.1" 200 518587
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/Event%20banner_1.png HTTP/1.1" 200 46386
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/Event%20banner_3.png HTTP/1.1" 200 35162
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/Goods%20Benner_1.png HTTP/1.1" 200 44181
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/Goods%20Benner_2.png HTTP/1.1" 200 65637
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/Goods%20Benner_3.png HTTP/1.1" 200 72772
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/main%20story.png HTTP/1.1" 200 439238
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/navercafe.jpg HTTP/1.1" 200 7120
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:53:37 +0900] "GET /PaperProject/img/facebook.png HTTP/1.1" 200 4686
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:54:07 +0900] "GET /PaperProject/ HTTP/1.1" 200 341
